EMPLEADO,C,46;ZONARUTA,C,5;NOMBRE,C,20;ORDCOB,N,4,0;RAZONSOC,C,35;DIRECCION,C,30;CODIGOCLI,C,8;FORMAPAG,C,1;NUMEROF,N,8,0;FECHAMOV,D;ENTREGAS,N,5,0;DEVOLUCION,N,5,0;FALTANTES,N,5,0;VALORUNITA,N,12,2;FEPAGO,D;CODIGOPU,C,3;NOMPU,C,15
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;990;MISCELANEA JUANCHITO;CL 74 #19 82;MISJUA01;;;28/02/2011;1;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;990;MISCELANEA JUANCHITO;CL 74 #19 82;MISJUA01;;;07/03/2011;1;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;520;OFICINA PALERMO;CALLE 67 # 23C-16;OFIORI01;;;28/02/2011;1;;;1500;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;520;OFICINA PALERMO;CALLE 67 # 23C-16;OFIORI01;;;07/03/2011;1;;;1500;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;550;PANADERIA LA CALEÐA;CRA. 20 # 52-61 LOCAL 2;PANCAL01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;550;PANADERIA LA CALEÐA;CRA. 20 # 52-61 LOCAL 2;PANCAL01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;0;PANADERIA LA CAROLA;CRA 11 # 55 - 06;PANACA01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;0;PANADERIA LA CAROLA;CRA 11 # 55 - 06;PANACA01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;780;PANADERIA LA RIQUISIMA;CL 67 #11 18;PANRIQ01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;780;PANADERIA LA RIQUISIMA;CL 67 #11 18;PANRIQ01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;0;PAPELERIA LA RAMBLA;CRA. 21 # 62-14;PAPRAM01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;0;PAPELERIA LA RAMBLA;CRA. 21 # 62-14;PAPRAM01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;790;RAPITIENDA EL FILO;CL 67 #9A 17;RAPFIL01;;;28/02/2011;1;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;790;RAPITIENDA EL FILO;CL 67 #9A 17;RAPFIL01;;;07/03/2011;1;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;0;SERGIO ANTONIO JIMENEZ;CALLE 65 B  N? 10 - 136;HERJIA01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;0;SERGIO ANTONIO JIMENEZ;CALLE 65 B  N? 10 - 136;HERJIA01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;0;T.M.PAPELERIA MISCELANEA;CALLE 77 N? 20 - 60;TMPAMI01;;;28/02/2011;2;;;1200;;NUE;NUEVO ESTADIO
YONNATAN LONDOÐO JURADO;ZC003;ZONA COBRO 3;0;T.M.PAPELERIA MISCELANEA;CALLE 77 N? 20 - 60;TMPAMI01;;;07/03/2011;2;;;1200;;NUE;NUEVO ESTADIO
