EMPLEADO,C,46;ZONARUTA,C,5;NOMBRE,C,20;ORDCOB,N,4,0;RAZONSOC,C,35;DIRECCION,C,30;CODIGOCLI,C,8;FORMAPAG,C,1;NUMEROF,N,8,0;FECHAMOV,D;ENTREGAS,N,5,0;DEVOLUCION,N,5,0;FALTANTES,N,5,0;VALORUNITA,N,12,2;FEPAGO,D;CODIGOPU,C,3;NOMPU,C,15
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;39;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;05/03/2011;10;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;39;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;07/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;39;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;08/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;39;RAPITIENDA SUPERGANGAS;CR 10 # 8-37;SUPERG01;C;;09/03/2011;10;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1590;FOTOCOPIAS DIVERLAND;CL 28 # 21-26;FOTDIV01;C;;02/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1590;FOTOCOPIAS DIVERLAND;CL 28 # 21-26;FOTDIV01;C;;03/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1590;FOTOCOPIAS DIVERLAND;CL 28 # 21-26;FOTDIV01;C;;04/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1590;FOTOCOPIAS DIVERLAND;CL 28 # 21-26;FOTDIV01;C;;05/03/2011;7;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1590;FOTOCOPIAS DIVERLAND;CL 28 # 21-26;FOTDIV01;C;;07/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1590;FOTOCOPIAS DIVERLAND;CL 28 # 21-26;FOTDIV01;C;;08/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1590;FOTOCOPIAS DIVERLAND;CL 28 # 21-26;FOTDIV01;C;;09/03/2011;7;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;35;CAFETERIA EL CORTICO V/PILAR;TERMINAL BUSETAS V/LLAPILAR;CAFCOR01;C;;04/03/2011;14;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;35;CAFETERIA EL CORTICO V/PILAR;TERMINAL BUSETAS V/LLAPILAR;CAFCOR01;C;;05/03/2011;18;;;800;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;35;CAFETERIA EL CORTICO V/PILAR;TERMINAL BUSETAS V/LLAPILAR;CAFCOR01;C;;07/03/2011;14;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;35;CAFETERIA EL CORTICO V/PILAR;TERMINAL BUSETAS V/LLAPILAR;CAFCOR01;C;;08/03/2011;14;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;35;CAFETERIA EL CORTICO V/PILAR;TERMINAL BUSETAS V/LLAPILAR;CAFCOR01;C;;09/03/2011;14;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;24;MUNDO EDITORES;AVENIDA 19  # 31 -17;MUNEDI01;C;;01/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;24;MUNDO EDITORES;AVENIDA 19  # 31 -17;MUNEDI01;C;;02/03/2011;5;;;525;;NDI;Q HUBO
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;24;MUNDO EDITORES;AVENIDA 19  # 31 -17;MUNEDI01;C;;03/03/2011;5;;;525;;NDI;Q HUBO
